filename,n_atoms,energy,atom_index,element,x,y,z
993.xyz,20,-1552.718875,14,Au,1.31991392,-1.93290326,2.39956467
993.xyz,20,-1552.718875,15,Au,1.31991392,1.93290326,-2.39956467
993.xyz,20,-1552.718875,16,Au,-1.31991392,-1.93290326,-2.39956467
993.xyz,20,-1552.718875,17,Au,-1.31033014,-1.93799299,2.40351756
993.xyz,20,-1552.718875,18,Au,1.31033014,1.93799299,2.40351756
993.xyz,20,-1552.718875,19,Au,1.31033014,-1.93799299,-2.40351756
993.xyz,20,-1552.718875,20,Au,-1.31033014,1.93799299,-2.40351756
987.xyz,20,-1553.639654,1,Au,-1.82598402,-1.82598551,6.89e-06
987.xyz,20,-1553.639654,2,Au,1.82598382,1.82598535,6.64e-06
987.xyz,20,-1553.639654,3,Au,1.82598269,-1.82598439,-4.85e-06
987.xyz,20,-1553.639654,4,Au,-1.8259824,1.82598417,-4.82e-06
987.xyz,20,-1553.639654,5,Au,1.86104924,8.63e-06,-1.98171353
987.xyz,20,-1553.639654,6,Au,-1.86104851,-7.26e-06,-1.98171382
987.xyz,20,-1553.639654,7,Au,-5.833e-05,1.86104907,-1.98171413
987.xyz,20,-1553.639654,8,Au,5.79e-05,-1.86104951,-1.98171398
987.xyz,20,-1553.639654,9,Au,-1.86104969,3.336e-05,1.98171247
987.xyz,20,-1553.639654,10,Au,1.86104899,-3.194e-05,1.98171246
987.xyz,20,-1553.639654,11,Au,3.34e-05,1.86105023,1.98171292
987.xyz,20,-1553.639654,12,Au,-3.337e-05,-1.86105117,1.98171258
987.xyz,20,-1553.639654,13,Au,2.48912651,2.48899801,2.4510281
987.xyz,20,-1553.639654,14,Au,-2.48912718,-2.48899782,2.45102817
987.xyz,20,-1553.639654,15,Au,-2.48899408,2.48913019,2.45102888
987.xyz,20,-1553.639654,16,Au,2.48899517,-2.48913072,2.45102896
987.xyz,20,-1553.639654,17,Au,-2.4891152,2.48898631,-2.45102405
987.xyz,20,-1553.639654,18,Au,2.48911618,-2.48898704,-2.45102421
987.xyz,20,-1553.639654,19,Au,2.48900451,2.48914095,-2.45103232
987.xyz,20,-1553.639654,20,Au,-2.48900564,-2.48914091,-2.45103237
777.xyz,20,-1555.557674,1,Au,-0.88640984,-1.11116424,0.63567919
777.xyz,20,-1555.557674,2,Au,0.88640984,1.11116424,0.63567919
777.xyz,20,-1555.557674,3,Au,-1.3820999,1.43187292,-0.64996123
777.xyz,20,-1555.557674,4,Au,1.3820999,-1.43187292,-0.64996123
777.xyz,20,-1555.557674,5,Au,-0.83074925,-1.03362385,-2.04181092
777.xyz,20,-1555.557674,6,Au,0.83074925,1.03362385,-2.04181092
777.xyz,20,-1555.557674,7,Au,-1.38677063,1.27199187,1.9956578
777.xyz,20,-1555.557674,8,Au,1.38677063,-1.27199187,1.9956578
777.xyz,20,-1555.557674,9,Au,-3.13707452,-0.73083866,1.94568221
777.xyz,20,-1555.557674,10,Au,3.13707452,0.73083866,1.94568221
777.xyz,20,-1555.557674,11,Au,-3.70053569,1.7371469,-1.87317262
777.xyz,20,-1555.557674,12,Au,3.70053569,-1.7371469,-1.87317262
777.xyz,20,-1555.557674,13,Au,-0.90465555,-0.98081794,3.30906024
777.xyz,20,-1555.557674,14,Au,0.90465555,0.98081794,3.30906024
777.xyz,20,-1555.557674,15,Au,-1.57190062,1.15756723,-3.27454149
777.xyz,20,-1555.557674,16,Au,1.57190062,-1.15756723,-3.27454149
777.xyz,20,-1555.557674,17,Au,-3.0957243,-0.58985938,-0.76036054
777.xyz,20,-1555.557674,18,Au,3.0957243,0.58985938,-0.76036054
777.xyz,20,-1555.557674,19,Au,-3.71501598,1.52234058,0.71376736
777.xyz,20,-1555.557674,20,Au,3.71501598,-1.52234058,0.71376736
763.xyz,20,-1546.391135,1,Au,-3.89806043,-1.03199626,1.4e-07
763.xyz,20,-1546.391135,2,Au,3.89806043,1.03199626,-1.3e-07
763.xyz,20,-1546.391135,3,Au,1.03858981,-3.90094116,-5e-08
763.xyz,20,-1546.391135,4,Au,-1.0385898,3.90094116,5e-08
763.xyz,20,-1546.391135,5,Au,3.68217066,3.25281793,-1.30375072
763.xyz,20,-1546.391135,6,Au,-3.68217081,-3.25281785,-1.30375081
763.xyz,20,-1546.391135,7,Au,-3.25961149,3.69017977,-1.30389671
763.xyz,20,-1546.391135,8,Au,3.25961098,-3.69018078,-1.30389802
763.xyz,20,-1546.391135,9,Au,-3.68217067,-3.25281793,1.30375072
763.xyz,20,-1546.391135,10,Au,3.68217081,3.25281785,1.30375081
763.xyz,20,-1546.391135,11,Au,3.25961148,-3.69017979,1.30389673
763.xyz,20,-1546.391135,12,Au,-3.25961097,3.69018079,1.30389804
763.xyz,20,-1546.391135,13,Au,1.17077555,3.81532685,1.32591025
763.xyz,20,-1546.391135,14,Au,-1.17077535,-3.81532664,1.32591035
763.xyz,20,-1546.391135,15,Au,-3.82019929,1.17822663,1.32564072
763.xyz,20,-1546.391135,16,Au,3.82019947,-1.17822555,1.32564228
763.xyz,20,-1546.391135,17,Au,-1.17077556,-3.81532685,-1.32591025
763.xyz,20,-1546.391135,18,Au,1.17077536,3.81532664,-1.32591035
763.xyz,20,-1546.391135,19,Au,3.82019929,-1.17822662,-1.32564073
763.xyz,20,-1546.391135,20,Au,-3.82019947,1.17822554,-1.3256423
549.xyz,20,-1549.479695,1,Au,9e-08,-0.0,3.66485132
549.xyz,20,-1549.479695,2,Au,-9e-08,0.0,-3.66485132
549.xyz,20,-1549.479695,3,Au,0.0,-1.97098944,0.0
549.xyz,20,-1549.479695,4,Au,0.0,1.97098944,-0.0
549.xyz,20,-1549.479695,5,Au,-6.21361654,0.0,1e-08
549.xyz,20,-1549.479695,6,Au,6.21361654,0.0,-1e-08
549.xyz,20,-1549.479695,7,Au,-3.60902046,0.0,-3e-08
549.xyz,20,-1549.479695,8,Au,3.60902046,-0.0,3e-08
549.xyz,20,-1549.479695,9,Au,3.55686442,-0.0,2.59747458
549.xyz,20,-1549.479695,10,Au,-3.55686445,0.0,2.59747455
549.xyz,20,-1549.479695,11,Au,-3.55686442,-0.0,-2.59747458
549.xyz,20,-1549.479695,12,Au,3.55686445,-0.0,-2.59747455
549.xyz,20,-1549.479695,13,Au,-1.27362384,0.0,-1.35767253
549.xyz,20,-1549.479695,14,Au,1.2736237,-0.0,-1.3576724
549.xyz,20,-1549.479695,15,Au,1.27362384,-0.0,1.35767253
549.xyz,20,-1549.479695,16,Au,-1.2736237,0.0,1.3576724
549.xyz,20,-1549.479695,17,Au,-2e-08,2.30063484,2.54385079
549.xyz,20,-1549.479695,18,Au,-2e-08,-2.30063484,2.54385079
549.xyz,20,-1549.479695,19,Au,2e-08,2.30063484,-2.54385079
549.xyz,20,-1549.479695,20,Au,2e-08,-2.30063484,-2.54385079
213.xyz,20,-1554.257775,1,Au,-0.0,1.34006027,1.30285749
213.xyz,20,-1554.257775,2,Au,0.0,-1.34006027,1.30285749
213.xyz,20,-1554.257775,3,Au,-0.0,-3.71773034,0.00035442
213.xyz,20,-1554.257775,4,Au,0.0,3.71773034,0.00035442
213.xyz,20,-1554.257775,5,Au,0.0,3.60769504,-2.61315387
213.xyz,20,-1554.257775,6,Au,-0.0,-3.60769504,-2.61315387
213.xyz,20,-1554.257775,7,Au,0.0,-1.33211216,-3.93965709
213.xyz,20,-1554.257775,8,Au,-0.0,1.33211216,-3.93965709
213.xyz,20,-1554.257775,9,Au,-0.0,1.34007098,-1.30274621
213.xyz,20,-1554.257775,10,Au,0.0,-1.34007098,-1.30274621
213.xyz,20,-1554.257775,11,Au,-0.0,1.33170019,3.93964474
213.xyz,20,-1554.257775,12,Au,0.0,-1.33170019,3.93964474
213.xyz,20,-1554.257775,13,Au,-0.0,-3.60767992,2.61387029
213.xyz,20,-1554.257775,14,Au,0.0,3.60767992,2.61387029
213.xyz,20,-1554.257775,15,Au,1.88619928,-0.0,-2.63229158
213.xyz,20,-1554.257775,16,Au,-1.88619928,-0.0,-2.63229158
213.xyz,20,-1554.257775,17,Au,1.88646041,0.0,2.63154643
213.xyz,20,-1554.257775,18,Au,-1.88646041,-0.0,2.63154643
213.xyz,20,-1554.257775,19,Au,-1.95772115,-0.0,-0.00042462
213.xyz,20,-1554.257775,20,Au,1.95772115,0.0,-0.00042462
575.xyz,20,-1553.700014,1,Au,0.0,2.089e-05,3.53339188
575.xyz,20,-1553.700014,2,Au,-0.0,-2.093e-05,-3.53339177
575.xyz,20,-1553.700014,3,Au,-0.0,-2.4126502,5.45e-06
575.xyz,20,-1553.700014,4,Au,0.0,2.41265019,-5.14e-06
575.xyz,20,-1553.700014,5,Au,1.31816104,0.0,5e-08
575.xyz,20,-1553.700014,6,Au,-1.31816104,0.0,5e-08
575.xyz,20,-1553.700014,7,Au,3.95761619,-0.0,2e-08
575.xyz,20,-1553.700014,8,Au,-3.95761619,-0.0,2e-08
575.xyz,20,-1553.700014,9,Au,2.68482363,-2.27216746,7.12e-06
575.xyz,20,-1553.700014,10,Au,-2.68482362,2.27216746,-6.98e-06
575.xyz,20,-1553.700014,11,Au,-2.68482363,-2.27216746,7.12e-06
575.xyz,20,-1553.700014,12,Au,2.68482362,2.27216746,-6.98e-06
575.xyz,20,-1553.700014,13,Au,-1.3269972,1.79358546,-2.18706647
575.xyz,20,-1553.700014,14,Au,1.32698289,-1.79357271,-2.1870841
575.xyz,20,-1553.700014,15,Au,1.32698296,1.7935729,2.18708387
575.xyz,20,-1553.700014,16,Au,-1.32699725,-1.79358563,2.18706627
575.xyz,20,-1553.700014,17,Au,1.32699725,-1.79358563,2.18706627
575.xyz,20,-1553.700014,18,Au,-1.32698296,1.7935729,2.18708387
575.xyz,20,-1553.700014,19,Au,-1.32698289,-1.79357271,-2.1870841
575.xyz,20,-1553.700014,20,Au,1.3269972,1.79358546,-2.18706647
561.xyz,20,-1547.29697,1,Au,-0.0,3.85700451,-0.0
561.xyz,20,-1547.29697,2,Au,0.0,-3.85700451,-0.0
561.xyz,20,-1547.29697,3,Au,-0.0,1.27430279,-0.0
561.xyz,20,-1547.29697,4,Au,0.0,-1.27430279,-0.0
561.xyz,20,-1547.29697,5,Au,2.64127419,0.0,-5e-08
561.xyz,20,-1547.29697,6,Au,-2.64127419,0.0,-5e-08
561.xyz,20,-1547.29697,7,Au,5.18041928,0.0,-0.0
561.xyz,20,-1547.29697,8,Au,-5.18041928,-0.0,0.0
561.xyz,20,-1547.29697,9,Au,1.2784182,-0.0,-2.13618381
561.xyz,20,-1547.29697,10,Au,-1.2784182,-0.0,-2.13618381
561.xyz,20,-1547.29697,11,Au,-1.2784181,-0.0,2.13618388
561.xyz,20,-1547.29697,12,Au,1.2784181,-0.0,2.13618388
561.xyz,20,-1547.29697,13,Au,0.0,-3.24601593,-5.66906597
561.xyz,20,-1547.29697,14,Au,0.0,3.24601593,-5.66906597
561.xyz,20,-1547.29697,15,Au,-0.0,-3.24601594,5.66906598
561.xyz,20,-1547.29697,16,Au,0.0,3.24601594,5.66906598
561.xyz,20,-1547.29697,17,Au,-0.0,1.31131637,-3.98826958
561.xyz,20,-1547.29697,18,Au,0.0,-1.31131637,-3.98826958
561.xyz,20,-1547.29697,19,Au,-0.0,1.31131633,3.98826955
561.xyz,20,-1547.29697,20,Au,0.0,-1.31131633,3.98826955
207.xyz,20,-1551.265371,1,Au,-2e-08,0.0,2.09898627
207.xyz,20,-1551.265371,2,Au,1.344e-05,-0.0,-0.52976882
207.xyz,20,-1551.265371,3,Au,2.33667762,0.0,3.31570829
207.xyz,20,-1551.265371,4,Au,-2.3366778,0.0,3.31570757
207.xyz,20,-1551.265371,5,Au,4.49207963,0.0,-0.74367658
207.xyz,20,-1551.265371,6,Au,-4.49207797,-0.0,-0.7436775
207.xyz,20,-1551.265371,7,Au,-4.60593955,0.0,1.86443662
207.xyz,20,-1551.265371,8,Au,4.6059409,-0.0,1.86443742
207.xyz,20,-1551.265371,9,Au,-2.17028764,-0.0,-1.88483971
207.xyz,20,-1551.265371,10,Au,2.1702767,-0.0,-1.88482855
207.xyz,20,-1551.265371,11,Au,-2.25855645,0.0,0.71239624
207.xyz,20,-1551.265371,12,Au,2.25855013,-0.0,0.71238964
207.xyz,20,-1551.265371,13,Au,-3.866447,-0.0,-3.83801675
207.xyz,20,-1551.265371,14,Au,3.86645,0.0,-3.83801999
207.xyz,20,-1551.265371,15,Au,1.29576996,-0.0,-4.31435144
207.xyz,20,-1551.265371,16,Au,-1.29577162,-0.0,-4.31434922
207.xyz,20,-1551.265371,17,Au,-3.12459048,-2.13643396,2.05186656
207.xyz,20,-1551.265371,18,Au,3.12459032,2.13643419,2.05186671
207.xyz,20,-1551.265371,19,Au,-3.12459048,2.13643396,2.05186656
207.xyz,20,-1551.265371,20,Au,3.12459032,-2.13643419,2.05186671
398.xyz,20,-1551.604581,1,Au,-0.0,-0.0,3.88773839
398.xyz,20,-1551.604581,2,Au,-0.0,0.0,-3.88773839
398.xyz,20,-1551.604581,3,Au,-0.0,0.0,1.27055941
398.xyz,20,-1551.604581,4,Au,0.0,-0.0,-1.27055941
398.xyz,20,-1551.604581,5,Au,0.0,-2.57579025,0.0
398.xyz,20,-1551.604581,6,Au,0.0,2.57579025,-0.0
398.xyz,20,-1551.604581,7,Au,0.0,-5.16650253,-0.0
398.xyz,20,-1551.604581,8,Au,-0.0,5.16650253,-0.0
398.xyz,20,-1551.604581,9,Au,-2.23478086,1.29360744,0.0
398.xyz,20,-1551.604581,10,Au,2.23478086,-1.29360744,-0.0
398.xyz,20,-1551.604581,11,Au,2.23478086,1.29360744,0.0
398.xyz,20,-1551.604581,12,Au,-2.23478086,-1.29360744,-0.0
398.xyz,20,-1551.604581,13,Au,1.82331504,1.35149878,2.57975409
398.xyz,20,-1551.604581,14,Au,-1.82331504,-1.35149878,2.57975409
398.xyz,20,-1551.604581,15,Au,-1.82331504,1.35149878,-2.57975409
398.xyz,20,-1551.604581,16,Au,1.82331504,-1.35149878,-2.57975409
398.xyz,20,-1551.604581,17,Au,-1.82331504,-1.35149878,-2.57975409
398.xyz,20,-1551.604581,18,Au,1.82331504,1.35149878,-2.57975409
398.xyz,20,-1551.604581,19,Au,1.82331504,-1.35149878,2.57975409
398.xyz,20,-1551.604581,20,Au,-1.82331504,1.35149878,2.57975409
429.xyz,20,-1551.940378,1,Au,0.0,0.0,3.56357435
429.xyz,20,-1551.940378,2,Au,-0.0,-0.0,-3.56357435
429.xyz,20,-1551.940378,3,Au,-0.0,-3.5407498,0.0
429.xyz,20,-1551.940378,4,Au,0.0,3.5407498,-0.0
429.xyz,20,-1551.940378,5,Au,0.0,1.28714061,1.2920132
429.xyz,20,-1551.940378,6,Au,0.0,-1.28714061,1.2920132
429.xyz,20,-1551.940378,7,Au,0.0,1.28714061,-1.2920132
429.xyz,20,-1551.940378,8,Au,-0.0,-1.28714061,-1.2920132
429.xyz,20,-1551.940378,9,Au,0.0,-5.80075589,-1.30814778
429.xyz,20,-1551.940378,10,Au,0.0,5.80075589,-1.30814778
429.xyz,20,-1551.940378,11,Au,-0.0,-5.80075589,1.30814778
429.xyz,20,-1551.940378,12,Au,0.0,5.80075589,1.30814778
429.xyz,20,-1551.940378,13,Au,-0.0,-3.55224484,-2.6321907
429.xyz,20,-1551.940378,14,Au,0.0,3.55224484,-2.6321907
429.xyz,20,-1551.940378,15,Au,-0.0,-3.55224484,2.6321907
429.xyz,20,-1551.940378,16,Au,-0.0,3.55224484,2.6321907
429.xyz,20,-1551.940378,17,Au,-0.0,2.23295758,4.8674084
429.xyz,20,-1551.940378,18,Au,0.0,-2.23295758,4.8674084
429.xyz,20,-1551.940378,19,Au,0.0,2.23295758,-4.8674084
429.xyz,20,-1551.940378,20,Au,0.0,-2.23295758,-4.8674084
367.xyz,20,-1551.887826,1,Au,0.0,-0.0,2.22395904
367.xyz,20,-1551.887826,2,Au,-0.0,-0.0,-2.22395904
367.xyz,20,-1551.887826,3,Au,0.0,-0.0,6.73465755
367.xyz,20,-1551.887826,4,Au,0.0,-0.0,-6.73465755
367.xyz,20,-1551.887826,5,Au,-0.0,1.31577517,-0.0
367.xyz,20,-1551.887826,6,Au,-0.0,-1.31577517,0.0
367.xyz,20,-1551.887826,7,Au,0.0,3.92072078,-0.0
367.xyz,20,-1551.887826,8,Au,-0.0,-3.92072078,0.0
367.xyz,20,-1551.887826,9,Au,-2.23535903,-0.0,0.0
367.xyz,20,-1551.887826,10,Au,2.23535903,-0.0,0.0
367.xyz,20,-1551.887826,11,Au,4.79708115,0.0,0.0
367.xyz,20,-1551.887826,12,Au,-4.79708115,0.0,0.0
367.xyz,20,-1551.887826,13,Au,-0.0,2.66527263,-2.27705483
367.xyz,20,-1551.887826,14,Au,0.0,-2.66527263,-2.27705483
367.xyz,20,-1551.887826,15,Au,0.0,2.66527263,2.27705483
367.xyz,20,-1551.887826,16,Au,0.0,-2.66527263,2.27705483
367.xyz,20,-1551.887826,17,Au,-0.0,1.31369298,-4.4981472
367.xyz,20,-1551.887826,18,Au,-0.0,-1.31369298,-4.4981472
367.xyz,20,-1551.887826,19,Au,0.0,1.31369298,4.4981472
367.xyz,20,-1551.887826,20,Au,0.0,-1.31369298,4.4981472
401.xyz,20,-1548.702202,1,Au,0.0,-0.0,-1.32533618
401.xyz,20,-1548.702202,2,Au,0.0,-0.0,1.32533618
401.xyz,20,-1548.702202,3,Au,0.0,-0.0,-3.90567985
401.xyz,20,-1548.702202,4,Au,0.0,-0.0,3.90567985
401.xyz,20,-1548.702202,5,Au,5.31249374,1.28967076,0.0
401.xyz,20,-1548.702202,6,Au,-5.31249374,-1.28967076,0.0
401.xyz,20,-1548.702202,7,Au,-5.31249374,1.28967076,0.0
401.xyz,20,-1548.702202,8,Au,5.31249374,-1.28967076,-0.0
401.xyz,20,-1548.702202,9,Au,3.525669,3.13966475,-0.0
401.xyz,20,-1548.702202,10,Au,-3.525669,-3.13966475,-0.0
401.xyz,20,-1548.702202,11,Au,-3.525669,3.13966475,-0.0
401.xyz,20,-1548.702202,12,Au,3.525669,-3.13966475,-0.0
401.xyz,20,-1548.702202,13,Au,-1.29997981,4.45683123,-0.0
401.xyz,20,-1548.702202,14,Au,1.29997981,-4.45683123,0.0
401.xyz,20,-1548.702202,15,Au,1.29997981,4.45683123,0.0
401.xyz,20,-1548.702202,16,Au,-1.29997981,-4.45683123,0.0
401.xyz,20,-1548.702202,17,Au,1.28866049,1.85636647,0.0
401.xyz,20,-1548.702202,18,Au,-1.28866049,-1.85636647,0.0
401.xyz,20,-1548.702202,19,Au,-1.28866049,1.85636647,0.0
401.xyz,20,-1548.702202,20,Au,1.28866049,-1.85636647,0.0
415.xyz,20,-1550.807171,1,Au,-0.0,1e-08,-3.11413616
415.xyz,20,-1550.807171,2,Au,0.0,1e-08,3.11413616
415.xyz,20,-1550.807171,3,Au,-0.0,-1.29573216,-0.0
415.xyz,20,-1550.807171,4,Au,-0.0,1.29573211,-0.0
415.xyz,20,-1550.807171,5,Au,1.87257613,-2e-08,1.29440511
415.xyz,20,-1550.807171,6,Au,-1.87257613,-2e-08,1.2944051
415.xyz,20,-1550.807171,7,Au,-1.87257613,-2e-08,-1.2944051
415.xyz,20,-1550.807171,8,Au,1.87257613,-2e-08,-1.29440511
415.xyz,20,-1550.807171,9,Au,4.48744964,3e-08,1.30068451
415.xyz,20,-1550.807171,10,Au,-4.48744964,3e-08,1.30068451
415.xyz,20,-1550.807171,11,Au,-4.48744964,3e-08,-1.30068451
415.xyz,20,-1550.807171,12,Au,4.48744964,3e-08,-1.3006845
415.xyz,20,-1550.807171,13,Au,2.52759468,1e-08,-3.81516246
415.xyz,20,-1550.807171,14,Au,-2.52759468,1e-08,-3.81516246
415.xyz,20,-1550.807171,15,Au,-2.52759468,1e-08,3.81516246
415.xyz,20,-1550.807171,16,Au,2.52759468,1e-08,3.81516246
415.xyz,20,-1550.807171,17,Au,-5.12211865,-1e-08,-3.81638301
415.xyz,20,-1550.807171,18,Au,5.12211865,-1e-08,-3.816383
415.xyz,20,-1550.807171,19,Au,5.12211865,-1e-08,3.81638301
415.xyz,20,-1550.807171,20,Au,-5.12211865,-1e-08,3.816383
373.xyz,20,-1547.094597,1,Au,0.0,0.0,4.81780767
373.xyz,20,-1547.094597,2,Au,0.0,-0.0,-4.81780767
373.xyz,20,-1547.094597,3,Au,-0.0,0.0,-2.25829332
373.xyz,20,-1547.094597,4,Au,-0.0,-0.0,2.25829332
373.xyz,20,-1547.094597,5,Au,-0.0,1.29346901,0.0
373.xyz,20,-1547.094597,6,Au,-0.0,-1.29346901,-0.0
