filename,n_atoms,energy,energy_per_atom
529.xyz,20,-1553.103225,-77.65516125
501.xyz,20,-1548.667523,-77.43337615
267.xyz,20,-1551.504715,-77.57523575
273.xyz,20,-1554.417046,-77.7208523
515.xyz,20,-1551.618388,-77.5809194
449.xyz,20,-1550.761665,-77.53808325
475.xyz,20,-1553.103227,-77.65516135
313.xyz,20,-1555.674617,-77.78373085
307.xyz,20,-1552.976783,-77.64883915
461.xyz,20,-1548.124179,-77.40620894999999
850.xyz,20,-1552.873748,-77.6436874
10.xyz,20,-1555.417784,-77.7708892
688.xyz,20,-1554.73131,-77.7365655
844.xyz,20,-1553.324241,-77.66621205
878.xyz,20,-1551.869888,-77.5934944
38.xyz,20,-1545.768123,-77.28840615
893.xyz,20,-1552.314965,-77.61574825
887.xyz,20,-1552.954069,-77.64770345
139.xyz,20,-1552.557847,-77.62789235
111.xyz,20,-1555.687918,-77.7843959
677.xyz,20,-1550.245202,-77.5122601
663.xyz,20,-1552.234793,-77.61173965
105.xyz,20,-1551.619445,-77.58097225
662.xyz,20,-1553.844198,-77.6922099
104.xyz,20,-1550.422329,-77.52111645
110.xyz,20,-1549.161931,-77.45809655000001
676.xyz,20,-1550.101748,-77.50508740000001
886.xyz,20,-1553.69394,-77.684697
138.xyz,20,-1551.688837,-77.58444184999999
892.xyz,20,-1553.621115,-77.68105575
39.xyz,20,-1550.21064,-77.510532
879.xyz,20,-1552.043035,-77.60215174999999
845.xyz,20,-1552.316722,-77.6158361
689.xyz,20,-1554.230801,-77.71154005
11.xyz,20,-1554.756643,-77.73783215
851.xyz,20,-1551.179612,-77.5589806
306.xyz,20,-1552.054229,-77.60271145
460.xyz,20,-1550.161542,-77.50807710000001
474.xyz,20,-1553.103225,-77.65516125
312.xyz,20,-1553.987531,-77.69937655
448.xyz,20,-1550.016004,-77.5008002
272.xyz,20,-1554.24416,-77.712208
514.xyz,20,-1551.848339,-77.59241695
500.xyz,20,-1552.03286,-77.601643
266.xyz,20,-1551.874621,-77.59373105
528.xyz,20,-1550.159756,-77.5079878
299.xyz,20,-1553.880941,-77.69404705
716.xyz,20,-1551.364619,-77.56823095
702.xyz,20,-1552.112417,-77.60562085000001
919.xyz,20,-1555.881308,-77.7940654
931.xyz,20,-1555.433278,-77.7716639
925.xyz,20,-1552.853189,-77.64265945
909.xyz,20,-1551.470058,-77.57350290000001
921.xyz,20,-1552.126797,-77.60633985
935.xyz,20,-1553.964507,-77.69822535
706.xyz,20,-1555.569022,-77.7784511
712.xyz,20,-1551.950672,-77.59753359999999
289.xyz,20,-1551.7881,-77.589405
262.xyz,20,-1552.366152,-77.61830760000001
504.xyz,20,-1548.139368,-77.40696840000001
510.xyz,20,-1549.572931,-77.47864655
276.xyz,20,-1551.769261,-77.58846305
538.xyz,20,-1551.077227,-77.55386135
316.xyz,20,-1555.942377,-77.79711885
470.xyz,20,-1550.241691,-77.51208455
464.xyz,20,-1551.656057,-77.58280285
302.xyz,20,-1555.594658,-77.7797329
458.xyz,20,-1548.722512,-77.4361256
869.xyz,20,-1553.636297,-77.68181485
29.xyz,20,-1548.396871,-77.41984355
855.xyz,20,-1545.009155,-77.25045775
15.xyz,20,-1551.37442,-77.56872100000001
841.xyz,20,-1549.528714,-77.4764357
699.xyz,20,-1550.551727,-77.52758635
672.xyz,20,-1552.177724,-77.6088862
114.xyz,20,-1555.239197,-77.76195985000001
100.xyz,20,-1552.217633,-77.61088165
666.xyz,20,-1551.731636,-77.5865818
896.xyz,20,-1553.540372,-77.6770186
128.xyz,20,-1551.041262,-77.5520631
882.xyz,20,-1552.063497,-77.60317485
883.xyz,20,-1553.468841,-77.67344205
897.xyz,20,-1552.553079,-77.62765395
129.xyz,20,-1552.849328,-77.6424664
101.xyz,20,-1552.886542,-77.6443271
667.xyz,20,-1552.51333,-77.6256665
673.xyz,20,-1552.777499,-77.63887495
115.xyz,20,-1555.19279,-77.7596395
698.xyz,20,-1551.406809,-77.57034045
840.xyz,20,-1552.781831,-77.63909155
14.xyz,20,-1552.866415,-77.64332075
854.xyz,20,-1553.238322,-77.6619161
28.xyz,20,-1554.990032,-77.7495016
868.xyz,20,-1544.800755,-77.24003775
459.xyz,20,-1548.124177,-77.40620885
465.xyz,20,-1549.737256,-77.4868628
303.xyz,20,-1551.426123,-77.57130615
317.xyz,20,-1541.630744,-77.0815372
471.xyz,20,-1550.956912,-77.5478456
539.xyz,20,-1551.630032,-77.5815016
511.xyz,20,-1551.65404,-77.582702
277.xyz,20,-1554.470402,-77.7235201
263.xyz,20,-1553.586011,-77.67930055000001
505.xyz,20,-1551.920745,-77.59603725
288.xyz,20,-1553.835336,-77.69176680000001
713.xyz,20,-1553.830173,-77.69150865
707.xyz,20,-1554.357546,-77.7178773
934.xyz,20,-1555.942374,-77.7971187
920.xyz,20,-1550.703443,-77.53517215000001
908.xyz,20,-1538.497324,-76.9248662
936.xyz,20,-1555.915122,-77.7957561
922.xyz,20,-1553.33042,-77.666521
711.xyz,20,-1551.003084,-77.5501542
705.xyz,20,-1553.88473,-77.6942365
739.xyz,20,-1552.661507,-77.63307535
275.xyz,20,-1555.438587,-77.77192935000001
513.xyz,20,-1550.37212,-77.518606
507.xyz,20,-1550.487256,-77.52436279999999
261.xyz,20,-1551.830198,-77.5915099
249.xyz,20,-1551.799014,-77.5899507
498.xyz,20,-1552.032863,-77.60164315
301.xyz,20,-1551.841099,-77.59205495
467.xyz,20,-1548.472055,-77.42360275
473.xyz,20,-1551.749484,-77.5874742
315.xyz,20,-1555.942373,-77.79711865
329.xyz,20,-1554.514736,-77.7257368
842.xyz,20,-1552.273042,-77.6136521
856.xyz,20,-1545.009163,-77.25045815
16.xyz,20,-1550.84607,-77.5423035
665.xyz,20,-1553.471863,-77.67359315
103.xyz,20,-1548.519202,-77.4259601
117.xyz,20,-1547.451362,-77.3725681
671.xyz,20,-1551.897453,-77.59487265
659.xyz,20,-1552.324414,-77.6162207
881.xyz,20,-1552.331671,-77.61658355
895.xyz,20,-1553.893351,-77.69466754999999
894.xyz,20,-1554.551221,-77.72756104999999
880.xyz,20,-1552.715048,-77.6357524
658.xyz,20,-1553.215698,-77.6607849
116.xyz,20,-1548.984913,-77.44924565
670.xyz,20,-1552.308032,-77.6154016
664.xyz,20,-1552.621306,-77.6310653
102.xyz,20,-1544.625769,-77.23128845
17.xyz,20,-1551.374404,-77.5687202
857.xyz,20,-1545.009171,-77.25045854999999
843.xyz,20,-1552.273041,-77.61365205
328.xyz,20,-1554.514728,-77.7257364
472.xyz,20,-1551.618391,-77.58091955
314.xyz,20,-1555.676499,-77.78382495
300.xyz,20,-1552.56552,-77.628276
466.xyz,20,-1549.701493,-77.48507465
499.xyz,20,-1549.843263,-77.49216315
248.xyz,20,-1554.035365,-77.70176825
506.xyz,20,-1553.103221,-77.65516105
260.xyz,20,-1551.914427,-77.59572134999999
274.xyz,20,-1551.32226,-77.566113
512.xyz,20,-1550.700124,-77.5350062
738.xyz,20,-1549.754092,-77.4877046
704.xyz,20,-1552.797933,-77.63989665
710.xyz,20,-1553.719385,-77.68596925
923.xyz,20,-1549.705642,-77.48528209999999
937.xyz,20,-1545.197863,-77.25989315000001
912.xyz,20,-1550.586783,-77.52933915
906.xyz,20,-1549.364491,-77.46822455
709.xyz,20,-1555.114359,-77.75571794999999
735.xyz,20,-1555.485703,-77.77428515
721.xyz,20,-1554.468774,-77.7234387
292.xyz,20,-1551.311521,-77.56557605
286.xyz,20,-1553.930584,-77.6965292
279.xyz,20,-1553.57009,-77.6785045
537.xyz,20,-1548.343339,-77.41716695
251.xyz,20,-1552.917706,-77.6458853
245.xyz,20,-1552.083989,-77.60419945
523.xyz,20,-1547.094598,-77.3547299
480.xyz,20,-1551.329523,-77.56647615
494.xyz,20,-1551.827768,-77.5913884
319.xyz,20,-1555.676496,-77.7838248
443.xyz,20,-1551.328773,-77.56643865
325.xyz,20,-1551.880754,-77.5940377
331.xyz,20,-1555.507573,-77.77537865000001
457.xyz,20,-1548.343345,-77.41716725
866.xyz,20,-1545.254021,-77.26270105
26.xyz,20,-1554.608889,-77.73044445000001
872.xyz,20,-1553.599614,-77.6799807
32.xyz,20,-1548.886616,-77.4443308
682.xyz,20,-1550.464354,-77.5232177
696.xyz,20,-1553.758535,-77.68792675
669.xyz,20,-1553.109806,-77.6554903
127.xyz,20,-1546.662154,-77.3331077
641.xyz,20,-1553.475963,-77.67379815000001
899.xyz,20,-1544.889708,-77.2444854
655.xyz,20,-1551.558326,-77.5779163
133.xyz,20,-1550.714961,-77.53574805
654.xyz,20,-1552.778519,-77.63892595
132.xyz,20,-1548.496886,-77.42484429999999
126.xyz,20,-1546.874346,-77.34371730000001
898.xyz,20,-1555.581085,-77.77905425
640.xyz,20,-1549.316976,-77.4658488
668.xyz,20,-1552.37017,-77.61850849999999
697.xyz,20,-1551.85119,-77.59255950000001
683.xyz,20,-1551.499398,-77.5749699
33.xyz,20,-1548.886606,-77.4443303
873.xyz,20,-1553.846892,-77.6923446
27.xyz,20,-1550.854957,-77.54274785
867.xyz,20,-1555.239135,-77.76195675
330.xyz,20,-1550.89562,-77.544781
456.xyz,20,-1552.287844,-77.6143922
442.xyz,20,-1550.54743,-77.5273715
324.xyz,20,-1551.880767,-77.59403835
318.xyz,20,-1555.674641,-77.78373205
495.xyz,20,-1551.790457,-77.58952285000001
481.xyz,20,-1550.161544,-77.5080772
244.xyz,20,-1552.95631,-77.64781550000001
522.xyz,20,-1548.13937,-77.4069685
536.xyz,20,-1548.579505,-77.42897525
250.xyz,20,-1551.946492,-77.59732460000001
278.xyz,20,-1553.427102,-77.6713551
287.xyz,20,-1551.844263,-77.59221314999999
293.xyz,20,-1554.442154,-77.72210770000001
720.xyz,20,-1553.477833,-77.67389165
734.xyz,20,-1552.52874,-77.626437
708.xyz,20,-1554.514285,-77.72571425
907.xyz,20,-1544.788171,-77.23940855
913.xyz,20,-1544.911398,-77.24556989999999
905.xyz,20,-1550.296365,-77.51481824999999
911.xyz,20,-1551.568282,-77.5784141
939.xyz,20,-1552.819534,-77.6409767
722.xyz,20,-1555.433279,-77.77166395
736.xyz,20,-1552.69284,-77.634642
285.xyz,20,-1553.667577,-77.68337885
291.xyz,20,-1552.829693,-77.64148465
508.xyz,20,-1551.790456,-77.5895228
520.xyz,20,-1548.722513,-77.43612565
246.xyz,20,-1550.961742,-77.5480871
252.xyz,20,-1550.635412,-77.5317706
534.xyz,20,-1550.277883,-77.51389415
497.xyz,20,-1552.032863,-77.60164315
483.xyz,20,-1544.125981,-77.20629905
468.xyz,20,-1551.015165,-77.55075825
454.xyz,20,-1550.096917,-77.50484585000001
332.xyz,20,-1555.924234,-77.7962117
326.xyz,20,-1552.507851,-77.62539255
440.xyz,20,-1550.468499,-77.52342495
871.xyz,20,-1553.735471,-77.68677355
31.xyz,20,-1549.186521,-77.45932605
865.xyz,20,-1553.636314,-77.6818157
25.xyz,20,-1550.854979,-77.54274895
695.xyz,20,-1550.306855,-77.51534275
859.xyz,20,-1544.800755,-77.24003775
19.xyz,20,-1549.039125,-77.45195625
681.xyz,20,-1553.899189,-77.69495945
118.xyz,20,-1554.413958,-77.7206979
130.xyz,20,-1548.496892,-77.4248446
656.xyz,20,-1551.547105,-77.57735525000001
642.xyz,20,-1552.752956,-77.6376478
124.xyz,20,-1546.717161,-77.33585805
643.xyz,20,-1552.9708,-77.64854
125.xyz,20,-1545.073909,-77.25369545
131.xyz,20,-1548.496894,-77.42484470000001
657.xyz,20,-1552.099703,-77.60498515
119.xyz,20,-1548.942856,-77.4471428
680.xyz,20,-1553.788298,-77.6894149
18.xyz,20,-1544.773777,-77.23868885
858.xyz,20,-1553.636311,-77.68181555
694.xyz,20,-1552.832429,-77.64162145
24.xyz,20,-1555.721965,-77.78609825
864.xyz,20,-1544.881795,-77.24408975
30.xyz,20,-1554.661088,-77.7330544
870.xyz,20,-1553.998235,-77.69991175
327.xyz,20,-1551.06244,-77.553122
441.xyz,20,-1551.82777,-77.59138850000001
455.xyz,20,-1551.790458,-77.58952289999999
333.xyz,20,-1553.5287,-77.676435
469.xyz,20,-1551.087303,-77.55436515
482.xyz,20,-1548.888144,-77.4444072
496.xyz,20,-1552.287863,-77.61439315
253.xyz,20,-1553.182775,-77.65913875
535.xyz,20,-1547.844811,-77.39224055
521.xyz,20,-1548.465149,-77.42325745000001
247.xyz,20,-1553.345388,-77.6672694
509.xyz,20,-1551.790458,-77.58952289999999
290.xyz,20,-1550.95582,-77.54779099999999
284.xyz,20,-1552.678471,-77.63392354999999
737.xyz,20,-1553.843969,-77.69219845
723.xyz,20,-1553.683823,-77.68419115
938.xyz,20,-1547.175028,-77.3587514
910.xyz,20,-1551.456814,-77.5728407
904.xyz,20,-1551.949162,-77.5974581
928.xyz,20,-1555.172182,-77.7586091
900.xyz,20,-1555.26791,-77.7633955
914.xyz,20,-1553.139074,-77.6569537
727.xyz,20,-1555.309712,-77.7654856
733.xyz,20,-1554.18361,-77.7091805
280.xyz,20,-1553.696638,-77.68483189999999
294.xyz,20,-1553.667805,-77.68339025
243.xyz,20,-1555.680568,-77.7840284
525.xyz,20,-1549.891523,-77.49457615
531.xyz,20,-1547.979161,-77.39895805
257.xyz,20,-1553.461154,-77.6730577
519.xyz,20,-1551.01022,-77.550511
492.xyz,20,-1549.8016,-77.49008
486.xyz,20,-1550.001681,-77.50008405
337.xyz,20,-1555.288757,-77.76443785000001
451.xyz,20,-1551.656922,-77.5828461
445.xyz,20,-1543.652431,-77.18262155
323.xyz,20,-1553.997718,-77.6998859
479.xyz,20,-1551.371307,-77.56856535
848.xyz,20,-1554.058158,-77.7029079
690.xyz,20,-1555.519593,-77.77597965
684.xyz,20,-1551.89933,-77.5949665
874.xyz,20,-1552.114348,-77.6057174
34.xyz,20,-1551.754481,-77.58772404999999
860.xyz,20,-1553.647827,-77.68239135
20.xyz,20,-1550.802695,-77.54013475
653.xyz,20,-1551.389033,-77.56945164999999
135.xyz,20,-1548.942851,-77.44714255
121.xyz,20,-1553.507074,-77.6753537
647.xyz,20,-1552.882456,-77.6441228
109.xyz,20,-1546.356808,-77.3178404
108.xyz,20,-1550.116729,-77.50583645
120.xyz,20,-1550.896967,-77.54484835
646.xyz,20,-1552.63572,-77.631786
652.xyz,20,-1550.251653,-77.51258265
134.xyz,20,-1551.03691,-77.5518455
21.xyz,20,-1549.254818,-77.4627409
861.xyz,20,-1544.881796,-77.2440898
35.xyz,20,-1552.632255,-77.63161275
875.xyz,20,-1552.747926,-77.6373963
685.xyz,20,-1551.566523,-77.57832615
