feature,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,n_samples
triaxial_c_a,-0.050640961783261745,0.10985913776119799,-0.06817715455554084,0.03127148627030137,0.050640961783261745,998
soap_pc_12,0.046904710830299276,0.13867821467252567,0.04905899787049434,0.12142501191685032,0.046904710830299276,998
soap_pc_9,0.04622644738723268,0.14448363624059235,0.0976576849062571,0.0020107739738701503,0.04622644738723268,998
compactness,0.030242109625905435,0.33987936232586097,-0.4429057253731174,3.369903053068051e-49,0.030242109625905435,998
soap_pc_13,0.01663355116577742,0.5996870649971372,-0.04075506501876214,0.19829657937906728,0.01663355116577742,998
std_coordination,-0.016404444892401764,0.6047231140470751,-0.03343604525992791,0.2913091668381932,0.016404444892401764,998
soap_pc_15,-0.014125716927948473,0.6558064076982982,0.018214085469289768,0.5654737446487148,0.014125716927948473,998
asphericity,-0.007577092479347648,0.8110494257187357,-0.008579900335836072,0.7866109218772781,0.007577092479347648,998
n_atoms,,,,,,998
surface_threshold,,,,,,998
rdf_bin_1,,,,,,998
rdf_bin_2,,,,,,998
rdf_bin_3,,,,,,998
rdf_bin_4,,,,,,998
rdf_bin_5,,,,,,998
rdf_bin_7,,,,,,998
rdf_bin_8,,,,,,998
rdf_bin_9,,,,,,998
rdf_bin_10,,,,,,998
rdf_bin_11,,,,,,998
rdf_bin_12,,,,,,998
rdf_bin_13,,,,,,998
rdf_bin_14,,,,,,998
rdf_bin_15,,,,,,998
rdf_bin_16,,,,,,998
rdf_bin_17,,,,,,998
rdf_bin_18,,,,,,998
rdf_bin_19,,,,,,998
rdf_bin_20,,,,,,998
equiv_radius,,,,,,998
