global_rank,structure_id,model_name,predicted_energy,actual_energy,n_atoms,cluster_type,coordinates_xyz
11,structure_73,svr_rbf_conservative,-1555.1063885114274,-1555.172182,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.755108 0.000000 -0.499380; Au 2.422016 1.398352 -0.135838; Au 1.399844 2.424600 -0.041862; Au 0.000000 2.773167 -0.386709; Au -1.399946 2.424777 0.024669; Au -2.270438 1.310838 0.983269; Au -2.656337 0.000000 0.885368; Au -2.414927 -1.394259 -0.253324; Au -1.318640 -2.283952 -0.940612; Au -0.000000 -2.721091 0.660050; Au 1.389843 -2.407278 0.336675; Au 2.406953 -1.389655 -0.339760; Au 4.032068 2.202729 2.435244; Au 0.646603 3.695903 -3.600307; Au -2.759109 3.118053 3.115295; Au -5.120827 -0.262421 -0.865021; Au -2.729948 -3.807838 2.255605; Au 1.073688 -3.796672 -3.387104; Au 3.374702 -1.417256 -3.693612
12,structure_150,svr_rbf_conservative,-1555.0132083736994,-1554.810396,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.438966 0.000000 -1.375299; Au 2.313580 1.335746 0.838529; Au 1.245282 2.156891 -1.279490; Au 0.000000 2.674700 -0.828240; Au -1.356854 2.350140 -0.689774; Au -2.424304 1.399673 -0.060545; Au -2.360132 0.000000 -1.506577; Au -2.104589 -1.215085 -1.390781; Au -1.207872 -2.092096 1.415690; Au -0.000000 -2.625630 -0.972661; Au 1.238230 -2.144677 1.306578; Au 2.386987 -1.378128 -0.493009; Au 3.205043 1.750923 3.701617; Au 0.784174 4.482244 2.516855; Au -3.366645 3.804627 1.109286; Au -4.566772 -0.234028 2.475849; Au -1.788351 -2.494462 -4.197554; Au 1.384377 -4.895303 1.076804; Au 4.373917 -1.836890 -2.129479
13,structure_45,svr_rbf_conservative,-1554.941908463701,-1555.114359,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.287757 0.000000 -1.614363; Au 2.420173 1.397287 -0.174215; Au 1.347532 2.333993 0.759365; Au 0.000000 2.414169 1.418376; Au -1.396593 2.418970 0.195230; Au -2.423456 1.399183 0.095659; Au -2.361328 0.000000 1.504703; Au -2.211068 -1.276561 1.149596; Au -1.240101 -2.147918 1.299461; Au -0.000000 -2.764198 -0.446326; Au 1.262089 -2.186002 -1.211828; Au 2.381861 -1.375168 -0.525022; Au 2.746471 1.500404 -4.152792; Au 0.894737 5.114203 0.290464; Au -3.360654 3.797856 -1.149911; Au -4.763477 -0.244108 2.071160; Au -1.889904 -2.636111 -4.064380; Au 1.340418 -4.739857 -1.666443; Au 4.764277 -2.000828 0.581683
14,structure_99,svr_rbf_conservative,-1554.8276245884279,-1554.322171,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.734640 0.000000 -0.601453; Au 2.424599 1.399843 0.041946; Au 1.284510 2.224837 -1.113613; Au 0.000000 2.328499 1.555022; Au -1.296407 2.245443 -1.057031; Au -2.416632 1.395243 -0.230619; Au -2.709940 0.000000 0.704431; Au -2.041974 -1.178934 1.510119; Au -1.142237 -1.978413 -1.619005; Au -0.000000 -2.279281 1.626308; Au 1.320308 -2.286840 -0.931208; Au 2.309215 -1.333226 -0.854422; Au 4.442192 2.426781 1.190658; Au 0.896081 5.121889 0.057364; Au -2.379608 2.689182 -3.761086; Au -5.092674 -0.260978 1.018116; Au -1.899027 -2.648837 -4.051834; Au 1.413551 -4.998464 -0.239223; Au 3.455179 -1.451053 3.605021
15,structure_42,svr_rbf_conservative,-1554.7870248355516,-1555.942374,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.765274 0.000000 0.439615; Au 2.046219 1.181385 -1.502437; Au 1.340926 2.322553 -0.804776; Au 0.000000 2.778509 -0.346250; Au -1.271230 2.201835 1.172986; Au -2.201804 1.271212 1.173064; Au -2.379236 0.000000 1.476223; Au -2.172650 -1.254380 -1.243432; Au -1.388713 -2.405322 -0.354825; Au -0.000000 -2.704830 -0.723807; Au 1.153529 -1.997970 1.586659; Au 2.014241 -1.162923 -1.558988; Au 3.696390 2.019347 -3.049416; Au 0.767595 4.387478 2.683438; Au -2.844573 3.214636 2.935050; Au -4.295574 -0.220130 2.922257; Au -2.825893 -3.941666 1.875525; Au 1.413509 -4.998315 -0.242569; Au 4.754974 -1.996921 0.665231
16,structure_70,svr_rbf_conservative,-1554.753337210236,-1554.378923,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.405623 0.000000 -1.432822; Au 2.164125 1.249458 -1.263098; Au 1.392090 2.411171 -0.297221; Au 0.000000 2.444843 -1.364823; Au -1.363077 2.360919 0.638814; Au -2.191498 1.265262 1.198520; Au -2.519051 0.000000 -1.222450; Au -2.416460 -1.395144 0.233009; Au -1.399954 -2.424791 0.022797; Au -0.000000 -2.795027 0.166810; Au 1.379351 -2.389105 0.479132; Au 2.317482 -1.337999 0.824037; Au 4.495976 2.456163 -0.890765; Au 0.839282 4.797234 1.822678; Au -2.248026 2.540481 3.941109; Au -4.798638 -0.245910 -1.988115; Au -2.511601 -3.503278 2.908419; Au 1.181313 -4.177248 2.862709; Au 4.331836 -1.819218 -2.228372
17,structure_183,svr_rbf_conservative,-1554.7011942121517,-1555.166257,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.572008 0.000000 -1.106694; Au 2.135670 1.233029 -1.326105; Au 1.236478 2.141643 -1.313197; Au 0.000000 2.796165 0.146493; Au -1.267854 2.195987 1.187513; Au -2.406535 1.389414 -0.343686; Au -2.634181 0.000000 0.949258; Au -2.368406 -1.367400 -0.600725; Au -1.321629 -2.289128 0.923683; Au -0.000000 -2.652256 -0.897517; Au 1.206444 -2.089623 1.420552; Au 2.422149 -1.398428 0.132634; Au 4.362262 2.383115 1.526902; Au 0.794899 4.543542 2.400908; Au -2.194604 2.480109 -4.009086; Au -5.063872 -0.259502 1.153195; Au -2.880686 -4.018093 1.611391; Au 1.067056 -3.773222 -3.415287; Au 3.631858 -1.525252 -3.394586
18,structure_33,svr_rbf_conservative,-1554.68536388151,-1554.540749,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.661334 0.000000 0.870232; Au 2.420081 1.397235 0.175900; Au 1.391242 2.409701 0.312709; Au 0.000000 2.673934 0.830709; Au -1.251066 2.166909 -1.256717; Au -2.237409 1.291769 1.079506; Au -2.305215 0.000000 1.589334; Au -2.042060 -1.178984 -1.509964; Au -1.364160 -2.362794 -0.629504; Au -0.000000 -2.799602 0.047189; Au 1.167684 -2.022488 -1.544687; Au 2.403146 -1.387457 0.373965; Au 3.203784 1.750235 3.703031; Au 0.861214 4.922591 1.437501; Au -2.776226 3.137397 3.080472; Au -3.184228 -0.163178 -4.107806; Au -2.282896 -3.184273 -3.418888; Au 1.414961 -5.003449 0.058187; Au 4.711063 -1.978480 0.965146
19,structure_178,svr_rbf_conservative,-1554.428281586301,-1554.331682,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.798663 0.000000 -0.086530; Au 2.028163 1.170960 1.534734; Au 1.332771 2.308427 -0.857255; Au 0.000000 2.682532 -0.802511; Au -1.246163 2.158418 -1.276052; Au -2.034516 1.174628 -1.523480; Au -2.793191 0.000000 -0.195157; Au -2.162671 -1.248619 -1.266414; Au -1.242860 -2.152696 -1.288875; Au -0.000000 -2.357181 1.511191; Au 1.205054 -2.087215 1.425264; Au 2.038048 -1.176668 1.517172; Au 4.382648 2.394251 1.449123; Au 0.847785 4.845835 1.684975; Au -2.852826 3.223963 -2.916753; Au -4.924453 -0.252358 1.651083; Au -2.608031 -3.637784 -2.646640; Au 1.094575 -3.870531 3.295587; Au 3.834236 -1.610243 -3.121818
20,structure_121,svr_rbf_conservative,-1554.4254364526125,-1554.876582,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.472616 0.000000 1.313838; Au 2.266460 1.308541 0.995429; Au 1.321912 2.289619 0.922059; Au 0.000000 2.536421 1.185988; Au -1.281211 2.219123 -1.128712; Au -2.408656 1.390638 0.323271; Au -2.793122 0.000000 -0.196143; Au -2.310368 -1.333891 -0.850255; Au -1.330661 -2.304773 0.870266; Au -0.000000 -2.328292 -1.555332; Au 1.179522 -2.042992 -1.508281; Au 2.424674 -1.399886 0.035717; Au 2.808028 1.534033 4.098990; Au 0.700139 4.001908 -3.245696; Au -3.390793 3.831916 0.926795; Au -5.055413 -0.259069 -1.189826; Au -2.807227 -3.915629 1.956356; Au 0.975925 -3.450973 -3.765416; Au 4.718691 -1.981683 0.920262
