filename,n_atoms,energy,energy_per_atom,mean_bond_length,std_bond_length,min_bond_length,max_bond_length,n_bonds,bond_variance,mean_coordination,std_coordination,max_coordination,min_coordination,surface_fraction,surface_threshold,surface_count,radius_of_gyration,asphericity,anisotropy_tensor,triaxial_c_a,triaxial_b_a,gyration_eigenvals,rdf_bin_1,rdf_bin_2,rdf_bin_3,rdf_bin_4,rdf_bin_5,rdf_bin_6,rdf_bin_7,rdf_bin_8,rdf_bin_9,rdf_bin_10,rdf_bin_11,rdf_bin_12,rdf_bin_13,rdf_bin_14,rdf_bin_15,rdf_bin_16,rdf_bin_17,rdf_bin_18,rdf_bin_19,rdf_bin_20,sphericity_index,equiv_radius,surface_area_approx,x_range,y_range,z_range,max_range,anisotropy,volume_estimate,compactness,soap_pc_1,soap_pc_2,soap_pc_3,soap_pc_4,soap_pc_5,soap_pc_6,soap_pc_7,soap_pc_8,soap_pc_9,soap_pc_10,soap_pc_11,soap_pc_12,soap_pc_13,soap_pc_14,soap_pc_15,mahalanobis_score,mahalanobis_outlier,isolation_forest_score,isolation_forest_outlier
561.xyz,20,-1547.29697,-77.36484850000001,2.661600872004636,0.13256028474296738,2.5339016369951333,2.9326058288426595,37,0.017572229091136593,3.7,2.451530134426253,8,1,1.0,9.0,20,4.281474276111131,0.3609648382558888,2.8373980813481503,0.5936628390209927,0.6243363372540397,[10.52157691  4.10126714  3.70817792],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7782055465087793,3.908761367896665,246.71403534638318,10.36083856,7.71400902,11.338131950000001,11.338131950000001,1.469810564209063,906.184346603972,0.022070564421832653,-0.782218799527305,2.4598525827883053,3.6021418865751254,1.6011150696548553,-2.7874202286196232,1.232439246525902,1.3725543985392263,-4.253935506755176,3.3357320957354535,1.2633980748632634,-1.5325752188863122,1.323930473323103,-1.4218287635578983,-0.8857908928291628,-2.388763459245761,37.08751853847395,False,0.4663692181600292,False
207.xyz,20,-1551.265371,-77.56326855,2.8162166889410623,0.4249635935701995,2.558560042206065,3.785450580044186,52,0.18059405586009772,4.4,1.4966629547095764,8,3,1.0,9.0,20,4.063726182080388,0.34310293027580796,10.167852228573855,0.3136067393706958,0.8251018182109514,[9.2819284  6.31907198 0.91287011],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1774613145601505,3.908761367896665,163.05778231010441,9.21188045,4.27286838,7.63005973,9.21188045,2.1559008213587894,300.3279461056082,0.06659386933076551,-2.320288591253724,-6.596458267458226,-9.265119298658224,5.968346367791526,1.8470456700905078,-4.366502980242818,2.536158244447328,2.39508452685202,-1.3182038376928515,1.2195610190270216,-0.8866702680277865,0.2323164446173643,-0.22168500092291185,0.8736299172358593,0.44785179761509547,24.509463352473144,False,0.3989217657226639,False
398.xyz,20,-1551.604581,-77.58022905,2.9297644654156927,0.4211370940839704,2.54111882,3.7176635405833447,71,0.17735645201349093,5.9,2.7367864366808017,12,1,0.9,9.0,18,3.325901947129769,0.09639273100530742,1.8886764977054953,0.7276477854875253,0.9927990220247568,[4.398048   4.33493557 2.32864019],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4347139844706902,3.908761367896665,133.82056130089995,4.46956172,10.33300506,7.77547678,10.33300506,2.311860917763543,359.1026496888359,0.05569438158357547,1.776606439572037,4.270544705139918,7.685188173749735,3.2905383630074985,-0.30862617213349075,5.091024028414135,-2.081127244247905,0.5484222961004274,-0.1820166080395085,0.09532552432220752,-1.5724092435641983,0.8056903330654628,-0.25363830229602685,0.8597168041691127,-3.103080436087655,36.016389949379864,False,0.4401800327203652,False
429.xyz,20,-1551.940378,-77.5970189,2.829697291694078,0.4354108957923142,2.57428122,3.6983808047472646,48,0.1895826481746655,3.8,1.2489995996796797,6,2,1.0,9.0,20,4.461584238510041,0.39188116783182825,1183569947.5153394,0.0,0.8257350689855409,[11.83569948  8.07003444  0.        ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4540557034543937,3.908761367896665,422.8429006561366,0.0,11.60151178,9.7348168,11.60151178,1.0,0.0,2000000000.0,-17.5830319552932,-5.293941720811452,1.2414263967060128,-3.2103801979983464,-3.731119253681779,-1.4336835884346046,4.157877759211237,0.06991440509252722,-3.3825178601910517,-0.6642000813887111,2.03255203756493,-1.108016745398692,-1.2775003447938376,0.21405255469553244,0.05865165431211554,40.417698109717904,False,0.498817254869655,False
367.xyz,20,-1551.887826,-77.5943913,2.6622428322845693,0.15945668254637727,2.56172212,3.153224350502238,43,0.025426433608696137,4.3,2.147091055358389,8,1,1.0,9.0,20,4.04857120663593,0.42555663987411474,3.6109421542164446,0.5262471227700266,0.5862681352758762,[10.113822    3.47622506  2.80088176],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0424020722940508,3.908761367896665,184.18442922469444,9.5941623,7.84144156,13.4693151,13.4693151,1.7177090458351896,1013.3243620704483,0.019737016841219684,-9.107060051105664,-0.04058027026905072,1.1257788718759398,-1.4246036205696428,-1.4855141398296638,2.135644159485004,-0.3255843981466363,2.974070186432538,5.612097610571567,0.5287730930544108,0.3333856807581858,0.12607586480695795,2.010272442390677,0.8501766836981409,-0.011834848569858754,30.968912606113193,False,0.45301679238023307,False
401.xyz,20,-1548.702202,-77.4351101,2.7624657330060263,0.3933495703599358,2.572007079016733,3.71273294,39,0.15472388450234606,3.3,1.4866068747318506,6,1,1.0,9.0,20,4.179453003338749,0.2557355126270406,5.173583001956471,0.43964717761089006,0.8896806927957206,[8.800705   6.9660373  1.70108511],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0133896853016107,3.908761367896665,189.4574550075236,10.62498748,8.91366246,7.8113597,10.62498748,1.3601969296075305,739.7947552787699,0.02703452526125742,-8.846895255748292,4.102243920730758,-0.7082736941550772,-0.7040335492166616,-1.9937249382594415,-1.501759493755375,3.9305361019565797,-1.8521624865056514,3.5755119739102548,-1.9455464230136574,0.3924016420381501,0.7762431402353355,-1.8895602160661638,0.2699131720211063,0.431406196364404,20.507538012153717,False,0.4004752542900942,False
415.xyz,20,-1550.807171,-77.54035855,2.842491046701557,0.39863529647418344,2.5888102,3.74515226,51,0.15891009959506014,4.5,1.6278820596099706,7,2,1.0,9.0,20,4.346135558413159,0.393677190867882,67.02942461730906,0.12214262640460069,0.8145793959792254,[11.25371599  7.46728612  0.16789218],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1762146695284694,3.908761367896665,163.23060380218402,10.2442373,2.5914642700000003,7.63276602,10.2442373,3.953069088619925,202.6314278875857,0.09870137227729764,2.9267325949272416,-7.47578163146809,-2.6579084611533452,-17.79149079705836,-2.9826086972063077,-10.232124752709302,-1.5003175614644988,-1.518545243212931,-1.089503005005312,-1.7936841098201277,-0.26644522960592376,1.3554065929207215,-2.457908818192624,2.0853070785316037,0.13324619120990722,47.40395726291511,False,0.4413656209089294,False
373.xyz,20,-1547.094597,-77.35472985,2.5881857009994778,0.01796140789783009,2.5595143499999997,2.6194893638316454,31,0.0003226121736722332,3.1,1.5132745950421558,6,1,1.0,9.0,20,4.180822236742269,0.2332060143110102,3.0178698640098487,0.5756383847242147,0.8452515498508589,[8.5439395  6.10421913 2.83111595],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8912621489342053,3.908761367896665,215.41836028570287,8.99210254,10.23511934,9.63561534,10.23511934,1.1382342777421222,886.8161955560993,0.02255258767261574,-10.847993273803606,1.992414210361853,-0.3108013355266696,0.9534175834931945,-1.5749457167976038,2.8815588379722112,0.34390550145602394,-3.0148817070006793,5.533086900543627,0.9121785885037694,-1.3148969165426256,-0.16374357429054542,-0.24208356075580373,-0.8979834206301218,0.3290444353226528,36.59647654316506,False,0.4732103773831665,False
824.xyz,20,-1553.156732,-77.6578366,2.8328319249891982,0.37096213887275403,2.585039064635188,3.811854912052703,65,0.13761290847704843,5.9,2.2561028345356955,10,2,0.9,9.0,18,3.4076027077888313,0.1719963554158684,3.3958491828607897,0.5426574915918361,0.968337652902344,[5.20203857 4.87783613 1.53188151],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4677113559467563,3.908761367896665,130.81198147729214,8.75253008,9.69610173,4.4012659,9.69610173,2.20302566359374,373.51528816026,0.05354533169973854,20.058830072415798,-12.987486519047534,1.050865448666019,10.183547683498833,-2.672463169638844,-5.030877969668794,-1.177116431442122,-0.6621325441123108,-1.4221838765784791,2.725094869705313,0.6265093735538084,0.8787292016764058,-1.2490306050598263,1.3169979391238424,4.312337823882778,42.46803955333599,False,0.45819441723638665,False
64.xyz,20,-1550.126944,-77.50634720000001,2.659455256159402,0.24289542477916,2.5681703000000002,3.65185996,36,0.05899818737864858,3.4,1.624807680927192,6,1,1.0,9.0,20,4.041240268981608,0.13962238907455937,2.89742812746065,0.5874807817268828,0.9999999999999999,[6.96404778 6.96404778 2.40352736],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0142316801306213,3.908761367896665,189.30017122260642,8.1332484,8.1332484,9.00828276,9.00828276,1.1075873152970468,595.8954681587354,0.033562933548500734,-7.09057882328856,8.95736473639844,-0.7308552054872522,0.9660786964488056,-3.679679991206888,-0.14931682122353046,5.175453053602211,-0.7253872384702753,3.1406723495096953,-0.2288762837367376,-0.36126813370292676,-0.5768491648208223,-0.7558691895194615,0.7539955733680856,0.4153474224765177,26.331095914086227,False,0.40471365304960094,False
830.xyz,20,-1551.918312,-77.5959156,2.8968791375037064,0.44716852460102685,2.5954435270403367,3.8638378988988737,67,0.19995968939385914,5.5,2.29128784747792,11,1,0.95,9.0,19,3.4532436002240217,0.037479179470809476,1.1168238057180497,0.946253870006659,0.9462607421852673,[4.27292055 3.82601319 3.82595762],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2285805915541612,3.908761367896665,156.27320830882135,7.31928478,8.12761358,10.79971758,10.79971758,1.4755154232433074,642.4570377463302,0.03113048628099169,12.755621665326153,-1.6531927056862366,8.428788995772997,0.8866337513018804,-5.889516769694656,0.6339717721232142,1.4826365006586457,0.4613773105694798,-1.120765609960756,0.7982619996418076,-0.24969109535463746,2.203333232432294,-0.6666394881247293,1.0956512509722207,-1.1652625724382488,50.55612043411448,False,0.42762806684239363,False
70.xyz,20,-1551.174891,-77.55874455,2.9000634476862084,0.4574713854323135,2.59358432,3.8466574000000007,59,0.20928006848936034,4.4,1.4966629547095764,8,3,1.0,9.0,20,3.7544237797816873,0.5732725671600937,5.1524763286597395,0.44054674560605145,0.45112439186409004,[10.08568393  2.05256998  1.95744401],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.525809152137423,3.908761367896665,125.83109128632773,5.12392686,5.07882108,11.30511252,11.30511252,2.225932424459418,294.1986832669288,0.06798126958703628,-1.1657864788617671,6.095490939119312,0.9226051553328486,0.7802437144427296,1.6350377038241268,-0.38558967115084636,0.17630678530178773,-1.7945642786163793,-4.507277903403108,-0.018280940925425978,-2.896333449062309,1.0188654902504934,0.0609493731587267,0.36511803903494877,-0.8892844191844537,39.176880786218106,False,0.4361385090583763,False
818.xyz,20,-1555.373209,-77.76866045,2.7851200276260295,0.3538473218717708,2.6133745159395994,3.8102614809148636,61,0.12520792719582458,5.5,1.6881943016134133,7,3,1.0,9.0,20,3.3760484624156573,0.16959969180069448,4.162979680139423,0.4901148421666682,0.9999659202909074,[5.08793238 5.08758559 1.22218525],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5312273182964224,3.908761367896665,125.38584468419941,8.61399226,8.6882058,3.4002411500000003,8.6882058,2.55517341762657,254.47451524841782,0.07859333175147257,6.552907354675154,-0.9391789035657538,1.9869476634598076,-0.9942310229048551,6.989169337799006,-5.262307784846777,1.4732776526627647,0.42000034942553444,-0.7088365720969897,-3.672932283745869,-0.3166923635410426,-2.0106203403901315,-0.9166764603652576,-2.613140988466662,0.14185053975909803,29.263385906066347,False,0.4242603414468046,False
58.xyz,20,-1550.892601,-77.54463005,2.9245462601163164,0.4418579057190188,2.57150824,3.8094072544275925,67,0.19523840884639732,5.9,2.118962010041709,10,2,0.9,9.0,18,3.21934956581135,0.13635465152394285,1.7386236139227786,0.7583980593948763,0.8843124570526643,[4.39687619 3.43839465 2.5289408 ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5575565333390837,3.908761367896665,123.26629987325205,7.17172493,7.45510342,7.76826108,7.76826108,1.0831788943137841,415.3374666697564,0.04815361387905052,5.353139403345272,2.4135206723963387,-2.537453999904169,-6.542659999035765,-1.8858503936256048,-0.19812004974341516,-7.344488050387712,0.4743578792314546,-2.0595597332282893,0.8148449433519874,-1.0309946044802392,-2.436432315933371,-0.7533941996981462,-1.1983234209863545,0.6431851596744605,45.53979167748946,False,0.42290725870465773,False
159.xyz,20,-1551.456898,-77.57284489999999,2.8345111879256324,0.44596798858577413,2.553079375891025,3.8088946307063805,46,0.19888744684324117,4.0,1.378404875209022,7,2,1.0,9.0,20,4.755142210604829,0.32284472958156407,1240376850.5076246,0.0,0.9071627014119423,[12.40376851 10.20760894  0.        ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40426251284123804,3.908761367896665,474.9246457672873,0.0,12.29525152,9.76625382,12.29525152,1.0,0.0,2000000000.0,-6.712995053697597,-7.845982340050452,-3.0548508672929557,-16.289401180082187,-9.527336032125078,-6.703372411664781,-1.3495577397944214,2.0654369038049647,-1.7026407059531639,-0.12136411813086163,1.3280631119577941,-0.03325655041311792,0.5805740491927556,-0.7543371488534178,0.18892368511351518,60.388323635564056,False,0.5361210797870704,False
603.xyz,20,-1551.1509,-77.557545,2.748232017688622,0.2972627007160798,2.588415899739186,3.7190715148891207,52,0.08836511323701762,4.8,2.039607805437114,9,1,1.0,9.0,20,3.5050212520144,0.2416717363109317,2.132591622983242,0.6847722469167279,0.7440060856622451,[6.07437754 3.36244165 2.84835478],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3294616980407417,3.908761367896665,144.4150147319511,9.89411848,9.42904628,4.36392927,9.89411848,2.267249963929869,407.1201304219571,0.04912554920529198,6.828719044003478,-5.213743422767397,-5.182408524340925,-0.7826604747162945,-0.44177608527363715,4.919016906200671,-0.8991497121971579,-5.828203678952456,-1.1179838502278914,-0.7712380508896794,-0.9672367133104304,0.6992964723403626,0.9021310043525049,-0.8602849293805451,0.8455239506528386,28.439342962363447,False,0.42314918413992986,False
165.xyz,20,-1549.495734,-77.47478670000001,2.9087997520032918,0.46341936853311555,2.572702760000755,3.8131559082035054,54,0.21475751113163158,4.2,1.8055470085267789,7,2,1.0,9.0,20,4.315860237460624,0.4592328969979755,18.073525728243734,0.23522233627969213,0.7130357571824506,[11.91153003  6.05605999  0.65905957],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.037347011756855,3.908761367896665,185.0819721193935,4.4433752,9.674963380000001,9.75088388,9.75088388,2.1944768202334117,419.18554790259446,0.047711568539500926,-1.31555673935185,-3.2226091356252486,-1.8758138457421507,5.510567502711093,0.2394122807729693,-6.9555641775275046,-0.29905431596336346,1.1909865364499954,-0.3938404075794403,0.8657389121329467,-1.0887202636982873,1.9709212189362573,-1.6334710535668446,1.2388145057177486,-0.7192530918148523,22.4048660979666,False,0.4057769804344808,False
171.xyz,20,-1551.426597,-77.57132985,2.84093500231607,0.42411105497891216,2.563772107247501,3.786580920490813,57,0.17987018695532586,4.7,2.215851980616034,9,2,1.0,9.0,20,3.6552980015250944,0.0970763567200962,1.8351262674111708,0.7381880733883425,0.9835242065767018,[5.31843913 5.14463182 2.89813253],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244563617347098,3.908761367896665,154.2663050984664,7.72406126,8.9660532,7.21536809,8.9660532,1.2426328204137398,499.6955850701835,0.04002436802956885,-1.9749285355175474,3.2047051204272954,4.431774297635067,3.9947313148884,-1.8448446414579336,2.502487823950326,1.9690736154981758,1.5861313960465786,0.9385660748804385,-0.8652586124208469,-0.13232342903263364,0.9241432489518359,0.2663065566657875,-0.5547323667152642,-0.6834499565046959,14.912587455744527,False,0.37634899815681094,False
617.xyz,20,-1546.204157,-77.31020785,2.884964535174966,0.4945151244947323,2.5708513052387785,3.793455387154353,49,0.2445452083540406,3.7,1.6155494421403513,7,2,1.0,9.0,20,3.733781908796142,0.340562341472871,3.3039196444048673,0.5501552502908463,0.6941533204173386,[7.81225776 3.76432728 2.3645423 ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2567898212737096,3.908761367896665,152.76558375810157,9.6567816,4.51666512,7.77852924,9.6567816,2.1380335587066948,339.27182096812476,0.05894978233777199,0.009191233992988527,5.295028948394435,-3.4819957360969025,2.683858870287014,2.330439286004744,-3.2752030077376215,2.0255890990521945,-4.8736498461853595,1.2791259587459765,3.2041963668328712,1.4979661586554558,-4.937404444981006,1.8072024053600368,-1.1292434572278531,-0.054516061316925137,34.748471342739,False,0.4164621471268319,False
